measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
4,YLLs (Years of Life Lost),19,Timor-Leste,1,Male,1,Under 5,294,All causes,3,Rate,1990,295678.671744749,326606.31877657404,268298.94634919794
4,YLLs (Years of Life Lost),19,Timor-Leste,2,Female,1,Under 5,294,All causes,3,Rate,1990,270213.3915881136,295874.27316882054,247525.2701872722
4,YLLs (Years of Life Lost),19,Timor-Leste,3,Both,1,Under 5,294,All causes,3,Rate,1990,283076.9786514372,311209.82515440456,258566.8853028565
4,YLLs (Years of Life Lost),19,Timor-Leste,1,Male,23,5-14 years,294,All causes,3,Rate,1990,12523.66010671397,14773.60892053987,9429.695204371565
4,YLLs (Years of Life Lost),19,Timor-Leste,2,Female,23,5-14 years,294,All causes,3,Rate,1990,11534.714573209747,13851.018823776556,8129.785345014106
4,YLLs (Years of Life Lost),19,Timor-Leste,3,Both,23,5-14 years,294,All causes,3,Rate,1990,12057.632925186334,14303.488467630832,8808.879045762385
4,YLLs (Years of Life Lost),19,Timor-Leste,1,Male,24,15-49 years,294,All causes,3,Rate,1990,18604.274972817104,21522.77716058334,15560.479888149126
4,YLLs (Years of Life Lost),19,Timor-Leste,2,Female,24,15-49 years,294,All causes,3,Rate,1990,16902.2238480224,21013.959460192815,12754.613837706904
4,YLLs (Years of Life Lost),19,Timor-Leste,3,Both,24,15-49 years,294,All causes,3,Rate,1990,17775.794564595526,21131.284283964582,14228.100195292573
4,YLLs (Years of Life Lost),19,Timor-Leste,1,Male,25,50-69 years,294,All causes,3,Rate,1990,50904.28705975841,61430.16328233971,43754.64938090081
4,YLLs (Years of Life Lost),19,Timor-Leste,2,Female,25,50-69 years,294,All causes,3,Rate,1990,50048.79266474204,59883.06937299269,42667.45303424397
4,YLLs (Years of Life Lost),19,Timor-Leste,3,Both,25,50-69 years,294,All causes,3,Rate,1990,50492.70466465935,60155.060905737504,43629.27918229838
4,YLLs (Years of Life Lost),19,Timor-Leste,1,Male,26,70+ years,294,All causes,3,Rate,1990,115834.11103869796,130539.22297964718,106370.72189880659
4,YLLs (Years of Life Lost),19,Timor-Leste,2,Female,26,70+ years,294,All causes,3,Rate,1990,117007.41179157865,126693.14604943478,111779.41716317818
4,YLLs (Years of Life Lost),19,Timor-Leste,3,Both,26,70+ years,294,All causes,3,Rate,1990,116429.617728286,128237.6500234443,110261.24286760984
4,YLLs (Years of Life Lost),98,Chile,1,Male,1,Under 5,294,All causes,3,Rate,1990,37231.04955825617,38190.767961939266,36281.56133798829
4,YLLs (Years of Life Lost),98,Chile,2,Female,1,Under 5,294,All causes,3,Rate,1990,30481.122294373887,31368.91032731114,29729.592498277947
4,YLLs (Years of Life Lost),98,Chile,3,Both,1,Under 5,294,All causes,3,Rate,1990,33926.34217810735,34748.83984569752,33136.53736049105
4,YLLs (Years of Life Lost),98,Chile,1,Male,23,5-14 years,294,All causes,3,Rate,1990,3057.3775132085707,3105.628706717252,3010.0691691972147
