measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
4,YLLs (Years of Life Lost),101,Canada,1,Male,22,All Ages,294,All causes,3,Rate,1990,18597.376674161318,18704.192378946256,18493.444109397795
4,YLLs (Years of Life Lost),101,Canada,2,Female,22,All Ages,294,All causes,3,Rate,1990,12144.91920585584,12222.844393856558,12071.104547177982
4,YLLs (Years of Life Lost),101,Canada,3,Both,22,All Ages,294,All causes,3,Rate,1990,15328.534630964225,15405.08171445485,15258.967726870746
4,YLLs (Years of Life Lost),101,Canada,1,Male,27,Age-standardized,294,All causes,3,Rate,1990,18194.157933367773,18298.476390780594,18091.67519162337
4,YLLs (Years of Life Lost),101,Canada,2,Female,27,Age-standardized,294,All causes,3,Rate,1990,10256.375164547257,10320.46447485728,10195.519868016887
4,YLLs (Years of Life Lost),101,Canada,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,13932.014943276547,14001.388354629571,13867.399824278415
4,YLLs (Years of Life Lost),101,Canada,1,Male,22,All Ages,294,All causes,3,Rate,2019,15825.359810269716,16099.262886326693,15570.511203135984
4,YLLs (Years of Life Lost),101,Canada,2,Female,22,All Ages,294,All causes,3,Rate,2019,11785.67288828411,11965.182404286512,11616.542745326902
4,YLLs (Years of Life Lost),101,Canada,3,Both,22,All Ages,294,All causes,3,Rate,2019,13773.418213005298,13999.374486220779,13562.109931073557
4,YLLs (Years of Life Lost),101,Canada,1,Male,27,Age-standardized,294,All causes,3,Rate,2019,10956.530411422875,11216.098638366904,10719.250984294262
4,YLLs (Years of Life Lost),101,Canada,2,Female,27,Age-standardized,294,All causes,3,Rate,2019,7120.720494099362,7277.352712310536,6976.110076682363
4,YLLs (Years of Life Lost),101,Canada,3,Both,27,Age-standardized,294,All causes,3,Rate,2019,8963.60461920983,9171.523268153454,8772.79850804554
2,DALYs (Disability-Adjusted Life Years),101,Canada,1,Male,22,All Ages,294,All causes,3,Rate,1990,28559.658051942173,31454.880714564075,26025.638695600985
2,DALYs (Disability-Adjusted Life Years),101,Canada,2,Female,22,All Ages,294,All causes,3,Rate,1990,24766.42433616251,28610.397277395343,21444.435845003485
2,DALYs (Disability-Adjusted Life Years),101,Canada,3,Both,22,All Ages,294,All causes,3,Rate,1990,26637.989926159156,29975.19519029984,23670.173803522328
2,DALYs (Disability-Adjusted Life Years),101,Canada,1,Male,27,Age-standardized,294,All causes,3,Rate,1990,27614.684790067324,30358.408823355687,25218.012690933512
